scene_id,acq_time_utc,lon,lat,bbox_w_m,bbox_h_m,length_class_m,confidence,aspect_ratio,wake_flag,range_km,detector,nir_snr,size_class,n_years_at_cell,transient
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.217012,48.791372,60.5,83.6,83.6,0.707,1.38,0,5.155,A,,>24m,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.216599,48.791384,123.5,89.1,123.5,0.6682,1.39,0,5.181,A,,>24m,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.242591,48.833523,24.6,30.0,30.0,0.6675,1.22,0,3.383,A,,>24m,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.225263,48.815797,32.1,48.2,48.2,0.6173,1.5,0,3.886,A,,>24m,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.232992,48.82124,23.4,28.8,28.8,0.6124,1.23,0,3.407,A,,>24m,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.237962,48.849354,139.4,64.1,139.4,0.6036,2.17,0,4.898,A,,>24m,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.261024,48.835222,27.3,42.6,42.6,0.5836,1.56,0,2.657,A,,>24m,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.310622,48.854837,25.6,36.7,36.7,0.5625,1.43,0,5.101,A,,>24m,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.323365,48.844061,29.2,37.1,37.1,0.5382,1.27,0,4.682,A,,>24m,2,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.219168,48.83111,32.2,44.9,44.9,0.5354,1.39,0,4.718,A,,>24m,2,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.220337,48.818951,22.0,23.2,23.2,0.5313,1.05,0,4.275,A,,12-24m,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.22729,48.816343,22.7,23.6,23.6,0.4939,1.04,0,3.741,A,,12-24m,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.24481,48.831152,25.9,20.7,25.9,0.4922,1.25,0,3.091,A,,>24m,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.227645,48.782383,22.2,37.8,37.8,0.4854,1.71,0,5.125,A,,>24m,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.243263,48.830876,27.6,35.7,35.7,0.4782,1.29,0,3.164,A,,>24m,3,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.226029,48.846899,35.7,27.4,35.7,0.4714,1.3,0,5.277,A,,>24m,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.23881,48.829427,21.2,23.9,23.9,0.456,1.12,0,3.349,A,,12-24m,6,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.313113,48.854821,25.7,31.4,31.4,0.4358,1.22,0,5.187,A,,>24m,2,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.294564,48.846576,25.5,25.3,25.5,0.4091,1.01,0,3.792,A,,>24m,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.21836,48.83355,19.6,25.7,25.7,0.3941,1.31,0,4.886,A,,>24m,5,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.22974,48.846171,44.0,30.8,44.0,0.3633,1.43,0,5.026,A,,>24m,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.258716,48.798369,23.4,24.5,24.5,0.3083,1.05,0,2.27,A,,>24m,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.31305,48.848821,25.9,18.9,25.9,0.3056,1.36,0,4.615,A,,>24m,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.241226,48.820818,18.5,23.6,23.6,0.2669,1.28,0,2.811,A,,12-24m,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.231182,48.787709,27.3,73.4,73.4,0.2592,2.68,1,4.536,A,,>24m,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.218637,48.832393,30.6,36.8,36.8,0.2462,1.2,0,4.812,A,,>24m,2,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.244581,48.830348,63.8,65.1,65.1,0.2363,1.02,0,3.051,A,,>24m,2,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.221777,48.827792,21.4,20.7,21.4,0.2229,1.03,0,4.404,A,,12-24m,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.243911,48.830572,20.0,20.4,20.4,0.2146,1.02,0,3.105,A,,12-24m,3,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.332811,48.819416,20.6,22.0,22.0,0.2086,1.07,0,4.035,A,,12-24m,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.234744,48.814682,23.2,24.0,24.0,0.1865,1.04,0,3.188,A,,>24m,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.321941,48.818937,23.2,19.8,23.2,0.1856,1.17,0,3.24,A,,12-24m,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.230123,48.791752,19.1,24.1,24.1,0.1522,1.26,0,4.321,A,,>24m,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.241368,48.805262,67.8,143.7,143.7,0.1123,2.12,0,2.88,A,,>24m,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.243936,48.831538,36.1,31.3,36.1,0.1056,1.15,0,3.168,A,,>24m,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.243774,48.830014,21.9,24.7,24.7,0.099,1.13,0,3.078,A,,>24m,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.222174,48.827781,24.2,21.6,24.2,0.0985,1.12,0,4.376,A,,>24m,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.240687,48.832053,21.3,26.0,26.0,0.0853,1.22,0,3.393,A,,>24m,3,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.285412,48.843418,37.0,20.4,37.0,0.073,1.82,0,3.291,A,,>24m,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.345741,48.852016,29.1,50.3,50.3,0.0711,1.73,0,6.486,A,,>24m,2,0
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.217361,48.78931,51.4,40.8,51.4,0.0536,1.26,0,5.25,A,,>24m,1,1
20200730_192942_71_1059,2020-07-30T19:29:42.712659Z,-125.338946,48.844793,27.3,64.2,64.2,0.0533,2.35,0,5.594,A,,>24m,1,1
20200806_183328_89_2206,2020-08-06T18:33:28.895946Z,-125.223028,48.792205,131.4,59.0,131.4,0.4163,2.23,0,4.728,A,,>24m,3,0
20200806_183328_89_2206,2020-08-06T18:33:28.895946Z,-125.315536,48.814887,30.1,41.5,41.5,0.3111,1.38,0,2.729,A,,>24m,1,1
20200806_183328_89_2206,2020-08-06T18:33:28.895946Z,-125.229121,48.772778,26.3,31.4,31.4,0.2532,1.2,0,5.846,A,,>24m,1,1
20200806_183328_89_2206,2020-08-06T18:33:28.895946Z,-125.296445,48.807367,41.7,47.0,47.0,0.1872,1.13,0,1.532,A,,>24m,1,1
20200806_183328_89_2206,2020-08-06T18:33:28.895946Z,-125.293821,48.830684,53.6,89.2,89.2,0.1505,1.66,0,2.158,A,,>24m,1,1
20200806_183328_89_2206,2020-08-06T18:33:28.895946Z,-125.313618,48.819393,28.3,37.4,37.4,0.1423,1.32,0,2.651,A,,>24m,1,1
20200806_183328_89_2206,2020-08-06T18:33:28.895946Z,-125.334318,48.836703,23.5,25.7,25.7,0.1394,1.09,0,4.805,A,,>24m,1,1
20200806_183328_89_2206,2020-08-06T18:33:28.895946Z,-125.224995,48.826992,21.7,24.9,24.9,0.1332,1.15,0,4.152,A,,>24m,1,1
20200806_183328_89_2206,2020-08-06T18:33:28.895946Z,-125.228246,48.79083,30.4,25.0,30.4,0.1191,1.22,0,4.492,A,,>24m,1,1
20200806_183328_89_2206,2020-08-06T18:33:28.895946Z,-125.30195,48.815485,24.0,31.6,31.6,0.0982,1.31,0,1.739,A,,>24m,1,1
20200806_183328_89_2206,2020-08-06T18:33:28.895946Z,-125.334892,48.814286,31.4,32.3,32.3,0.0903,1.03,0,4.145,A,,>24m,1,1
20200806_183328_89_2206,2020-08-06T18:33:28.895946Z,-125.238802,48.829416,32.4,35.7,35.7,0.0841,1.1,0,3.349,A,,>24m,6,0
20200806_183328_89_2206,2020-08-06T18:33:28.895946Z,-125.323595,48.814779,28.1,23.4,28.1,0.0765,1.2,0,3.319,A,,>24m,1,1
20200806_183328_89_2206,2020-08-06T18:33:28.895946Z,-125.268219,48.808595,23.4,25.0,25.0,0.058,1.07,0,0.965,A,,>24m,1,1
20210601_191849_05_2412,2021-06-01T19:18:49.050614Z,-125.318358,48.849882,113.6,48.3,113.6,0.52,2.35,0,4.934,A,,>24m,2,0
20210601_191849_05_2412,2021-06-01T19:18:49.050614Z,-125.331499,48.856475,37.1,24.9,37.1,0.2966,1.49,0,6.105,A,,>24m,1,1
20210601_191849_05_2412,2021-06-01T19:18:49.050614Z,-125.226196,48.826654,25.0,24.9,25.0,0.235,1.0,0,4.057,A,,>24m,1,1
20210601_191849_05_2412,2021-06-01T19:18:49.050614Z,-125.222511,48.818628,57.8,62.3,62.3,0.2198,1.08,0,4.113,A,,>24m,1,1
20210601_191849_05_2412,2021-06-01T19:18:49.050614Z,-125.244904,48.826475,19.5,20.4,20.4,0.1394,1.04,0,2.799,A,,12-24m,1,1
20210601_191849_05_2412,2021-06-01T19:18:49.050614Z,-125.218108,48.792465,50.5,58.4,58.4,0.129,1.16,0,5.026,A,,>24m,1,1
20210601_191849_05_2412,2021-06-01T19:18:49.050614Z,-125.334172,48.855246,31.6,25.1,31.6,0.0525,1.26,0,6.129,A,,>24m,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.210346,48.798234,18.2,26.4,26.4,0.4942,1.45,0,5.282,A,,>24m,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.321427,48.847442,29.2,30.9,30.9,0.4601,1.06,0,4.862,A,,>24m,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.235856,48.81635,25.6,42.9,42.9,0.3231,1.68,0,3.115,A,,>24m,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.237675,48.791844,141.5,76.2,141.5,0.2684,1.86,0,3.876,A,,>24m,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.246715,48.840572,27.9,28.7,28.7,0.1413,1.03,0,3.733,A,,>24m,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.220188,48.84552,22.5,22.4,22.5,0.141,1.0,0,5.496,A,,12-24m,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.248834,48.841273,27.7,24.8,27.7,0.0989,1.12,0,3.702,A,,>24m,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.216879,48.834478,33.8,39.7,39.7,0.0695,1.18,0,5.029,A,,>24m,2,0
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.249813,48.842065,25.2,22.1,25.2,0.0651,1.14,0,3.734,A,,>24m,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.248045,48.840998,94.5,57.7,94.5,0.0556,1.64,0,3.712,A,,>24m,1,1
20210616_183111_05_2448,2021-06-16T18:31:11.057048Z,-125.252299,48.843045,28.5,28.8,28.8,0.0548,1.01,0,3.729,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.215995,48.853342,127.6,50.6,127.6,0.6814,2.52,1,6.303,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.226827,48.845586,45.2,50.0,50.0,0.6492,1.11,0,5.135,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.321306,48.847934,23.3,33.8,33.8,0.6201,1.45,0,4.898,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.256759,48.781724,38.0,38.9,38.9,0.6016,1.02,0,3.94,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.311202,48.856189,30.0,40.5,40.5,0.5782,1.35,0,5.254,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.28762,48.852508,44.6,31.8,44.6,0.555,1.4,0,4.314,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.322235,48.848747,41.1,38.1,41.1,0.534,1.08,0,5.011,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.315938,48.851133,22.7,30.1,30.1,0.4647,1.33,0,4.946,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.23411,48.841996,40.9,35.7,40.9,0.4625,1.15,0,4.473,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.233022,48.841536,95.9,81.2,95.9,0.4526,1.18,0,4.496,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.319575,48.848665,22.0,25.8,25.8,0.4315,1.17,0,4.881,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.277347,48.795177,22.9,34.0,34.0,0.3923,1.49,0,2.116,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.318386,48.849793,28.5,29.0,29.0,0.3641,1.02,0,4.928,A,,>24m,2,0
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.227182,48.845164,19.5,24.2,24.2,0.3315,1.24,0,5.084,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.222785,48.78323,85.7,56.5,85.7,0.329,1.51,0,5.327,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.316729,48.850489,24.0,24.7,24.7,0.3263,1.03,0,4.92,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.215198,48.839572,44.1,80.5,80.5,0.2861,1.83,0,5.411,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.243783,48.826651,26.3,33.6,33.6,0.2807,1.28,0,2.88,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.230023,48.844277,32.0,24.4,32.0,0.2789,1.31,0,4.864,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.231277,48.792225,25.6,19.0,25.6,0.2784,1.35,0,4.221,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.227667,48.84488,37.5,34.7,37.5,0.2719,1.08,0,5.036,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.316538,48.851153,21.4,23.3,23.3,0.2626,1.09,0,4.973,A,,12-24m,2,0
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.215089,48.840804,32.2,48.6,48.6,0.2617,1.51,0,5.491,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.321205,48.846551,20.3,26.2,26.2,0.2457,1.29,0,4.776,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.339815,48.857459,19.0,25.9,25.9,0.2298,1.37,0,6.59,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.231263,48.79241,25.0,61.3,61.3,0.2254,2.46,0,4.21,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.218962,48.77636,23.9,21.3,23.9,0.2174,1.12,0,6.048,A,,12-24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.321114,48.837795,22.7,24.4,24.4,0.2171,1.07,0,4.089,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.319506,48.850087,24.2,28.0,28.0,0.2071,1.16,0,5.003,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.320343,48.850224,20.0,21.7,21.7,0.1981,1.08,0,5.052,A,,12-24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.322797,48.843907,24.1,25.6,25.6,0.1968,1.06,0,4.64,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.312978,48.854431,25.0,27.5,27.5,0.1958,1.1,0,5.144,A,,>24m,2,0
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.317693,48.849753,24.2,25.8,25.8,0.1937,1.07,0,4.894,A,,>24m,2,0
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.234399,48.789413,64.0,112.6,112.6,0.1557,1.76,0,4.234,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.29747,48.835915,22.4,26.9,26.9,0.1545,1.2,0,2.794,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.234439,48.789679,55.0,58.4,58.4,0.1541,1.06,0,4.212,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.31791,48.849334,26.9,27.1,27.1,0.1461,1.01,0,4.866,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.304551,48.835018,21.7,31.5,31.5,0.1294,1.45,0,3.01,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.313893,48.852033,22.3,25.9,25.9,0.1258,1.16,0,4.949,A,,>24m,2,0
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.234492,48.833936,21.4,22.1,22.1,0.1225,1.03,0,3.885,A,,12-24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.231983,48.783933,18.4,20.7,20.7,0.1166,1.12,0,4.777,A,,12-24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.230375,48.840303,27.2,98.8,98.8,0.1166,3.63,1,4.552,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.230467,48.83329,86.8,108.4,108.4,0.1161,1.25,0,4.093,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.212958,48.847838,20.8,19.0,20.8,0.111,1.09,0,6.07,A,,12-24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.326208,48.773282,33.8,27.0,33.8,0.1082,1.25,0,5.747,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.34113,48.826176,25.7,29.3,29.3,0.1026,1.14,0,4.791,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.23388,48.829233,65.6,108.7,108.7,0.0925,1.66,0,3.655,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.235088,48.79013,41.4,57.0,57.0,0.089,1.38,0,4.144,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.308225,48.773628,29.1,23.8,29.1,0.0874,1.22,0,5.017,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.262897,48.833008,24.5,25.8,25.8,0.0822,1.05,0,2.375,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.342887,48.827712,19.2,18.7,19.2,0.0812,1.03,0,4.963,A,,12-24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.218064,48.796455,26.1,37.4,37.4,0.0801,1.43,0,4.831,A,,>24m,2,0
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.322079,48.84557,26.0,33.6,33.6,0.0766,1.29,0,4.738,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.339727,48.792097,23.0,22.6,23.0,0.0654,1.01,0,5.128,A,,12-24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.244481,48.82425,17.7,19.3,19.3,0.0612,1.09,0,2.715,A,,12-24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.314696,48.852234,22.3,21.5,22.3,0.0596,1.04,0,4.999,A,,12-24m,2,0
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.308247,48.773487,33.6,48.4,48.4,0.0516,1.44,0,5.031,A,,>24m,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.323667,48.83486,68.5,78.1,78.1,0.0512,1.14,0,4.04,A,,>24m,1,1
20210730_182659_13_2434,2021-07-30T18:26:59.136637Z,-125.255738,48.774688,32.6,28.5,32.6,0.5799,1.14,0,4.693,A,,>24m,1,1
20210730_182659_13_2434,2021-07-30T18:26:59.136637Z,-125.243821,48.825725,63.8,34.3,63.8,0.5419,1.86,0,2.83,A,,>24m,1,1
20210730_182659_13_2434,2021-07-30T18:26:59.136637Z,-125.236575,48.78339,34.2,41.2,41.2,0.5029,1.2,0,4.59,A,,>24m,1,1
20210730_182659_13_2434,2021-07-30T18:26:59.136637Z,-125.223441,48.818987,36.9,32.5,36.9,0.4797,1.14,0,4.05,A,,>24m,1,1
20210730_182659_13_2434,2021-07-30T18:26:59.136637Z,-125.312448,48.852087,26.6,27.5,27.5,0.4787,1.03,0,4.899,A,,>24m,1,1
20210730_182659_13_2434,2021-07-30T18:26:59.136637Z,-125.312306,48.847949,29.0,28.1,29.0,0.4492,1.03,0,4.504,A,,>24m,1,1
20210730_182659_13_2434,2021-07-30T18:26:59.136637Z,-125.223125,48.789852,143.4,148.1,148.1,0.4237,1.03,0,4.863,A,,>24m,1,1
20210730_182659_13_2434,2021-07-30T18:26:59.136637Z,-125.321947,48.847941,25.4,27.0,27.0,0.3862,1.06,0,4.929,A,,>24m,2,0
20210730_182659_13_2434,2021-07-30T18:26:59.136637Z,-125.216105,48.796238,22.5,26.3,26.3,0.3767,1.17,0,4.972,A,,>24m,1,1
20210730_182659_13_2434,2021-07-30T18:26:59.136637Z,-125.21527,48.821095,27.4,29.2,29.2,0.3398,1.06,0,4.676,A,,>24m,1,1
20210730_182659_13_2434,2021-07-30T18:26:59.136637Z,-125.212075,48.84675,32.1,32.3,32.3,0.2964,1.01,0,6.048,A,,>24m,1,1
20210730_182659_13_2434,2021-07-30T18:26:59.136637Z,-125.217053,48.845215,44.4,38.1,44.4,0.2006,1.17,0,5.655,A,,>24m,1,1
20210730_182659_13_2434,2021-07-30T18:26:59.136637Z,-125.225074,48.829479,23.1,27.5,27.5,0.1951,1.19,0,4.249,A,,>24m,1,1
20210730_182659_13_2434,2021-07-30T18:26:59.136637Z,-125.314166,48.850828,28.4,34.7,34.7,0.1581,1.22,0,4.847,A,,>24m,2,0
20210730_182659_13_2434,2021-07-30T18:26:59.136637Z,-125.213787,48.797645,23.4,24.3,24.3,0.0593,1.04,0,5.069,A,,>24m,2,0
20210730_182659_13_2434,2021-07-30T18:26:59.136637Z,-125.325309,48.854922,28.4,32.4,32.4,0.0554,1.14,0,5.688,A,,>24m,1,1
20210730_182659_13_2434,2021-07-30T18:26:59.136637Z,-125.224851,48.820583,18.1,20.4,20.4,0.0552,1.13,0,3.976,A,,12-24m,1,1
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.268357,48.846592,147.1,60.3,147.1,0.6941,2.44,0,3.674,A,,>24m,1,1
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.231945,48.838445,24.1,25.9,25.9,0.6149,1.08,0,4.333,A,,>24m,1,1
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.280136,48.83332,37.0,39.9,39.9,0.6141,1.08,0,2.13,A,,>24m,1,1
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.315493,48.849926,21.3,24.2,24.2,0.5589,1.13,0,4.817,A,,>24m,1,1
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.216254,48.819906,25.3,25.7,25.7,0.523,1.02,0,4.585,A,,>24m,1,1
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.219155,48.832618,107.5,132.0,132.0,0.5228,1.23,0,4.788,A,,>24m,2,0
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.228873,48.828678,26.0,30.7,30.7,0.4702,1.18,0,3.959,A,,>24m,1,1
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.255296,48.830335,29.6,38.2,38.2,0.3948,1.29,0,2.46,A,,>24m,1,1
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.314492,48.852964,22.3,25.7,25.7,0.3892,1.15,0,5.06,A,,>24m,2,0
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.314582,48.852137,27.6,33.0,33.0,0.3352,1.19,0,4.986,A,,>24m,1,1
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.222511,48.832078,31.4,29.8,31.4,0.3182,1.05,0,4.541,A,,>24m,1,1
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.337078,48.841079,29.4,33.9,33.9,0.3164,1.15,0,5.24,A,,>24m,1,1
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.261994,48.7881,29.1,28.7,29.1,0.3044,1.01,0,3.138,A,,>24m,1,1
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.317394,48.850607,25.1,24.3,25.1,0.2982,1.03,0,4.958,A,,>24m,1,1
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.319965,48.834376,30.5,27.1,30.5,0.2966,1.13,0,3.788,A,,>24m,1,1
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.310268,48.85719,26.2,27.9,27.9,0.2816,1.06,0,5.323,A,,>24m,1,1
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.225845,48.793198,47.9,132.1,132.1,0.2771,2.76,1,4.494,A,,>24m,1,1
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.312803,48.854539,26.6,30.7,30.7,0.2353,1.16,0,5.148,A,,>24m,2,0
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.233944,48.824372,133.9,144.8,144.8,0.2338,1.08,0,3.437,A,,>24m,1,1
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.309366,48.858544,25.3,28.7,28.7,0.1895,1.13,0,5.43,A,,>24m,2,0
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.340553,48.84377,19.6,19.5,19.6,0.1649,1.0,0,5.621,A,,12-24m,2,0
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.327287,48.836159,30.3,24.0,30.3,0.1535,1.27,0,4.34,A,,>24m,1,1
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.220653,48.849573,28.2,110.0,110.0,0.1223,3.89,1,5.767,A,,>24m,1,1
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.228542,48.819608,28.5,29.3,29.3,0.1047,1.03,0,3.691,A,,>24m,1,1
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.226131,48.834363,32.2,82.2,82.2,0.1027,2.55,1,4.427,A,,>24m,1,1
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.314697,48.836997,34.4,32.4,34.4,0.1008,1.06,0,3.679,A,,>24m,1,1
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.230586,48.832258,47.7,117.1,117.1,0.087,2.46,0,4.028,A,,>24m,1,1
